"","DATE","Jan.CPI","state_code","Change.in.Total.Homelessness..2021.2022","Change.in.Total.Homelessness..2020.2022","Change.in.Total.Homelessness..2019.2022","Change.in.Total.Homelessness..2018.2022","Change.in.Total.Homelessness..2017.2022","Change.in.Total.Homelessness..2016.2022","Change.in.Total.Homelessness..2015.2022","Change.in.Total.Homelessness..2014.2022","Change.in.Total.Homelessness..2013.2022","Change.in.Total.Homelessness..2012.2022","state","property_type","median_sale_price","Overall.Homeless..2012","Overall.Homeless..2013","Overall.Homeless..2014","Overall.Homeless...Under.18..2014","Overall.Homeless...Age.18.to.24..2014","Overall.Homeless...Over.24..2014","Overall.Homeless..2015","Overall.Homeless...Under.18..2015","Overall.Homeless...Age.18.to.24..2015","Overall.Homeless...Over.24..2015","Overall.Homeless..2016","Overall.Homeless...Under.18..2016","Overall.Homeless...Age.18.to.24..2016","Overall.Homeless...Over.24..2016","Overall.Homeless..2017","Overall.Homeless...Under.18..2017","Overall.Homeless...Age.18.to.24..2017","Overall.Homeless...Over.24..2017","Overall.Homeless..2018","Overall.Homeless...Under.18..2018","Overall.Homeless...Age.18.to.24..2018","Overall.Homeless...Over.24..2018","Overall.Homeless..2019","Overall.Homeless...Under.18..2019","Overall.Homeless...Age.18.to.24..2019","Overall.Homeless...Over.24..2019","Overall.Homeless..2020","Overall.Homeless...Under.18..2020","Overall.Homeless...Age.18.to.24..2020","Overall.Homeless...Over.24..2020","Overall.Homeless..2021","Overall.Homeless...Under.18..2021","Overall.Homeless...Age.18.to.24..2021","Overall.Homeless...Over.24..2021","Overall.Homeless..2022","Overall.Homeless...Under.18..2022","Overall.Homeless...Age.18.to.24..2022","Overall.Homeless...Over.24..2022","state.income","homelessness_final_change","inflation_adjusted_price","region"
"33","2012",226.665,"DC","-13.7%","-30.9%","-32.4%","-36.1%","-41.0%","-47.2%","-39.6%","-43.1%","-35.8%","-36.6%","Columbia","All Residential",353000,"6,954","6,865","7,748","2,241","837","4,670","7,298","2,056","736","4,506","8,350","2,732","920","4,698","7,473","2,286","682","4,505","6,904","1,933","639","4,332","6,521","1,606","546","4,369","6,380","1,432","548","4,400","5,111","752","502","3,857","4,410","600","509","3,301",81010,"decreased",437850,NA
"34","2012",226.665,"DC","-13.7%","-30.9%","-32.4%","-36.1%","-41.0%","-47.2%","-39.6%","-43.1%","-35.8%","-36.6%","Columbia","Condo/Co-op",329500,"6,954","6,865","7,748","2,241","837","4,670","7,298","2,056","736","4,506","8,350","2,732","920","4,698","7,473","2,286","682","4,505","6,904","1,933","639","4,332","6,521","1,606","546","4,369","6,380","1,432","548","4,400","5,111","752","502","3,857","4,410","600","509","3,301",81010,"decreased",408701,NA
"35","2012",226.665,"DC","-13.7%","-30.9%","-32.4%","-36.1%","-41.0%","-47.2%","-39.6%","-43.1%","-35.8%","-36.6%","Columbia","Multi-Family (2-4 Unit)",228300,"6,954","6,865","7,748","2,241","837","4,670","7,298","2,056","736","4,506","8,350","2,732","920","4,698","7,473","2,286","682","4,505","6,904","1,933","639","4,332","6,521","1,606","546","4,369","6,380","1,432","548","4,400","5,111","752","502","3,857","4,410","600","509","3,301",81010,"decreased",283176,NA
"36","2012",226.665,"DC","-13.7%","-30.9%","-32.4%","-36.1%","-41.0%","-47.2%","-39.6%","-43.1%","-35.8%","-36.6%","Columbia","Single Family Residential",475000,"6,954","6,865","7,748","2,241","837","4,670","7,298","2,056","736","4,506","8,350","2,732","920","4,698","7,473","2,286","682","4,505","6,904","1,933","639","4,332","6,521","1,606","546","4,369","6,380","1,432","548","4,400","5,111","752","502","3,857","4,410","600","509","3,301",81010,"decreased",589175,NA
"37","2012",226.665,"DC","-13.7%","-30.9%","-32.4%","-36.1%","-41.0%","-47.2%","-39.6%","-43.1%","-35.8%","-36.6%","Columbia","Townhouse",419000,"6,954","6,865","7,748","2,241","837","4,670","7,298","2,056","736","4,506","8,350","2,732","920","4,698","7,473","2,286","682","4,505","6,904","1,933","639","4,332","6,521","1,606","546","4,369","6,380","1,432","548","4,400","5,111","752","502","3,857","4,410","600","509","3,301",81010,"decreased",519714,NA
"38","2012",226.665,"DE","50.0%","103.3%","157.2%","118.9%","138.3%","121.4%","148.6%","162.9%","150.4%","135.0%","Delaware","All Residential",162300,"1,008","946","901","220","51","630","953","227","81","645","1,070","196","69","805","994","240","69","685","1,082","227","78","777","921","220","83","618","1,165","266","71","828","1,579","509","122","948","2,369","769","200","1,400",60810,"increased",201312,"South"
"39","2012",226.665,"DE","50.0%","103.3%","157.2%","118.9%","138.3%","121.4%","148.6%","162.9%","150.4%","135.0%","Delaware","Condo/Co-op",110000,"1,008","946","901","220","51","630","953","227","81","645","1,070","196","69","805","994","240","69","685","1,082","227","78","777","921","220","83","618","1,165","266","71","828","1,579","509","122","948","2,369","769","200","1,400",60810,"increased",136440,"South"
"40","2012",226.665,"DE","50.0%","103.3%","157.2%","118.9%","138.3%","121.4%","148.6%","162.9%","150.4%","135.0%","Delaware","Multi-Family (2-4 Unit)",96000,"1,008","946","901","220","51","630","953","227","81","645","1,070","196","69","805","994","240","69","685","1,082","227","78","777","921","220","83","618","1,165","266","71","828","1,579","509","122","948","2,369","769","200","1,400",60810,"increased",119075,"South"
"41","2012",226.665,"DE","50.0%","103.3%","157.2%","118.9%","138.3%","121.4%","148.6%","162.9%","150.4%","135.0%","Delaware","Single Family Residential",203400,"1,008","946","901","220","51","630","953","227","81","645","1,070","196","69","805","994","240","69","685","1,082","227","78","777","921","220","83","618","1,165","266","71","828","1,579","509","122","948","2,369","769","200","1,400",60810,"increased",252291,"South"
"42","2012",226.665,"DE","50.0%","103.3%","157.2%","118.9%","138.3%","121.4%","148.6%","162.9%","150.4%","135.0%","Delaware","Townhouse",89000,"1,008","946","901","220","51","630","953","227","81","645","1,070","196","69","805","994","240","69","685","1,082","227","78","777","921","220","83","618","1,165","266","71","828","1,579","509","122","948","2,369","769","200","1,400",60810,"increased",110393,"South"
